phase,mode,condition,case_id,repeat,terminal,terminal_status,final_answer_accuracy,jurisdiction_ok,rate_ok,exemption_ok,reverse_charge_ok,liable_party_ok,vat_or_reason_ok,trace_consistent,earliest_failing_subtask,earliest_error_ties,prompt_tokens,completion_tokens,total_tokens,tool_calls,retries,dollars,latency_ms,injection_mode,injection_tau,injection_fired,substitution_success,step_CLS_ok,step_CLS_status,step_JUR_ok,step_JUR_status,step_RAT_ok,step_RAT_status,step_EXM_ok,step_EXM_status,step_RCH_ok,step_RCH_status
1,none,C1,eval_001,0,False,ok,True,True,True,True,True,True,True,True,,,7809,1136,8945,4,0,0.013489,9319.646919000661,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_001,1,False,ok,True,True,True,True,True,True,True,True,,,7760,1192,8952,5,0,0.01372,12406.689276998804,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_001,2,False,ok,True,True,True,True,True,True,True,True,,,8263,1268,9531,6,0,0.014603,10162.93289999885,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_001,3,False,ok,True,True,True,True,True,True,True,True,,,10867,1218,12085,5,0,0.016957,10277.568804998737,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_001,4,False,ok,True,True,True,True,True,True,True,True,,,8265,1245,9510,6,0,0.01449,9604.174523999973,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_002,0,False,ok,True,True,True,True,True,True,True,True,,,8265,1214,9479,6,0,0.014335,8786.075151998375,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_002,1,False,ok,True,True,True,True,True,True,True,True,,,7928,1310,9238,5,0,0.014478,13239.362196000002,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_002,2,False,ok,True,True,True,True,True,True,True,True,,,8064,1289,9353,7,0,0.014509,9426.381853001658,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_002,3,False,ok,True,True,True,True,True,True,True,True,,,10382,1227,11609,3,0,0.016517,10982.821446003072,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_002,4,False,ok,True,True,True,True,True,True,True,True,,,7802,1174,8976,5,0,0.013672,9681.260158999066,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_003,0,False,ok,True,True,True,True,True,True,True,True,,,7760,1204,8964,5,0,0.01378,10579.18344099744,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_003,1,False,ok,True,True,True,True,True,True,True,True,,,7645,1184,8829,4,0,0.013565,9461.478577002708,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_003,2,False,ok,True,True,True,True,True,True,True,True,,,7989,1279,9268,7,0,0.014384,9695.8311519993,none,,False,,True,correct,True,correct,True,correct,True,correct,True,correct
