phase,mode,condition,case_id,repeat,terminal,terminal_status,final_answer_accuracy,jurisdiction_ok,rate_ok,exemption_ok,reverse_charge_ok,liable_party_ok,vat_or_reason_ok,trace_consistent,earliest_failing_subtask,earliest_error_ties,prompt_tokens,completion_tokens,total_tokens,tool_calls,retries,dollars,latency_ms,injection_mode,injection_tau,injection_fired,substitution_success,record_substituted,step_CLS_ok,step_CLS_status,step_JUR_ok,step_JUR_status,step_RAT_ok,step_RAT_status,step_EXM_ok,step_EXM_status,step_RCH_ok,step_RCH_status
1,none,C1,eval_001,0,False,ok,True,True,True,True,True,True,True,True,,,8263,1239,9502,6,0,0.014458,11770.17409799737,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_001,1,False,ok,True,True,True,True,True,True,True,True,,,8263,1246,9509,6,0,0.014493,9490.6028869882,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_001,2,False,ok,True,True,True,True,True,True,True,True,,,7760,1175,8935,5,0,0.013635,10126.737693004543,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_001,3,False,ok,True,True,True,True,True,True,True,True,,,8263,1214,9477,6,0,0.014333,9406.314342995756,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_001,4,False,ok,True,True,True,True,True,True,True,True,,,8263,1262,9525,6,0,0.014573,9759.111059000134,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_002,0,False,ok,True,True,True,True,True,True,True,True,,,7862,1168,9030,5,0,0.013702,9707.360011991113,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_002,1,False,ok,True,True,True,True,True,True,True,True,,,8031,1309,9340,7,0,0.014576,9870.644488997641,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_002,2,False,ok,True,True,True,True,True,True,True,True,,,8030,1352,9382,7,0,0.01479,12566.95615198987,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_002,3,False,ok,True,True,True,True,True,True,True,True,,,8030,1288,9318,7,0,0.01447,10312.851234004484,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_002,4,False,ok,True,True,True,True,True,True,True,True,,,7802,1244,9046,5,0,0.014022,13201.954260992352,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_003,0,False,ok,True,True,True,True,True,True,True,True,,,7812,1143,8955,4,0,0.013527,9418.677897992893,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_003,1,False,ok,True,True,True,True,True,True,True,True,,,7831,1179,9010,4,0,0.013726,9480.118517007213,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_003,2,False,ok,True,True,True,True,True,True,True,True,,,8261,1227,9488,6,0,0.014396,9809.593276993837,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_003,3,False,ok,True,True,True,True,True,True,True,True,,,7645,1212,8857,4,0,0.013705,10681.360432994552,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
1,none,C1,eval_003,4,False,ok,True,True,True,True,True,True,True,True,,,7645,1222,8867,4,0,0.013755,10497.762340994086,none,,False,,,True,correct,True,correct,True,correct,True,correct,True,correct
